Image,Title,Author,Format,Rating,Price,OldPrice,ISBN,Category
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7806/9781780622163.jpg,I Am Malala,Malala Yousafzai,Paperback,4.5,7.36,10.3,1780622163,Biography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/2596/9781259642371.jpg,"Practice Makes Perfect: Complete French Grammar, Premium Third Edition",Annie Heminway,Paperback,4.0,14.47,16.04,1259642371,Dictionaries-Languages
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8419/9781841957876.jpg,Black Lamb and Grey Falcon,Rebecca West,Paperback,4.0,22.86,26.5,1841957876,Travel-Holiday-Guides
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718180294.jpg,Nine Perfect Strangers,Liane Moriarty,Hardback,3.5,20.34,22.5,0718180294,Crime-Thriller
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0621/9780062121660.jpg,The Tiny Book of Tiny Stories: Volume 1,Joseph Gordon-Levitt,Hardback,4.0,9.91,12.4,0062121660,Art-Photography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4449/9781444910599.jpg,The Secret Seven Collection 1,Enid Blyton,Paperback,4.0,8.48,12.4,1444910599,Childrens-Books
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4732/9781473218079.jpg,Season of Storms,Andrzej Sapkowski,Paperback,4.0,13.12,20.1,1473218079,Science-Fiction-Fantasy-Horror
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7876/9781787630277.jpg,Blue Moon,Lee Child,Paperback,4.5,17.99,20.1,1787630277,Crime-Thriller
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6299/9781629996295.jpg,"Oracle, The",Jonathan Cahn,Hardback,5.0,18.34,25.2,1629996295,Religion
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4093/9781409302209.jpg,Pirate Pete's Potty,Andrea Pinnington,Board book,4.0,8.52,8.8,1409302209,Childrens-Books
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7426/9781742661087.jpg,The Stylist's Guide to NYC,Sibella Court,Hardback,4.0,13.48,21.1,1742661087,Business-Finance-Law
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0715/9780071569149.jpg,The Fiberglass Boat Repair Manual,Allan H. Vaitses,Hardback,4.0,22.85,29.9,0071569149,Transport
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6070/9781607066873.jpg,The Walking Dead: Volume 18,Robert Kirkman,Paperback,4.0,12.73,13.99,1607066873,Graphic-Novels-Anime-Manga
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5445/9780544538542.jpg,Proof,Adam Rogers,Paperback,4.0,13.14,15.99,0544538542,Technology-Engineering
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1430/9780143007111.jpg,A Mini Guide to the Identification of New Zealand Native Trees,Andrew Crowe,Paperback,4.0,6.11,11.28,0143007111,Natural-History
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2625/9780262525671.jpg,The Design of Everyday Things,Donald A. Norman,Paperback,4.0,16.65,18.0,0262525671,Art-Photography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4717/9780471773900.jpg,Dog Grooming For Dummies,Margaret H. Bonham,Paperback,3.5,14.87,18.2,0471773900,Natural-History
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4521/9781452142326.jpg,The Diva Rules,Michelle Visage,Hardback,4.0,16.4,20.1,1452142326,Humour
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8578/9780857832672.jpg,Mug Cakes: 40 speedy cakes to make in a microwave,Mima Sinclair,Hardback,4.0,9.55,12.4,0857832672,Food-Drink
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7865/9781786574473.jpg,Lonely Planet Greek Islands,Lonely Planet,Paperback,4.0,16.02,19.1,1786574473,Travel-Holiday-Guides
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141031491.jpg,Small Giants,Bo Burlingham,Paperback,4.0,11.48,15.0,0141031491,Business-Finance-Law
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8491/9781849161572.jpg,Spark,Dr. John J. Ratey,Paperback,4.0,10.42,16.0,1849161572,Medical
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3453/9780345379184.jpg,Billions & Billions,Carl Sagan,Paperback,4.5,14.81,18.0,0345379184,Science-Geography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9149/9780914955573.jpg,The Original Reiki Handbook of Dr. Mikao Usui,Mikao Usui,Paperback,4.5,11.79,18.0,0914955573,Medical
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7848/9781784882273.jpg,Little Green Kitchen,David Frenkiel,Hardback,4.5,22.38,24.0,1784882273,Food-Drink
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1995/9780199578689.jpg,Clinical Medicine for the MRCP PACES Pack,Gautam Mehta,Paperback,5.0,82.03,93.6,0199578689,Medical
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7865/9781786574688.jpg,Lonely Planet Sweden,Lonely Planet,Paperback,3.5,16.33,20.1,1786574688,Travel-Holiday-Guides
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7426/9781742663159.jpg,Supercharged Food,Lee Holmes,Paperback,4.5,16.48,18.0,1742663159,Food-Drink
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3991/9780399171611.jpg,The Wrath and The Dawn,Renee Ahdieh,Hardback,4.0,13.28,16.0,0399171611,Teen-Young-Adult
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7232/9780723292111.jpg,Peppa Pig: Practise with Peppa: Wipe-Clean Numbers,Peppa Pig,Paperback,4.5,4.84,5.0,0723292111,Childrens-Books
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2625/9780262513135.jpg,The Simple Science of Flight,Henk Tennekes,Paperback,4.0,23.02,26.3,0262513135,Transport
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7653/9780765397539.jpg,All Systems Red,Martha Wells,Paperback,4.0,10.72,13.99,0765397539,Science-Fiction-Fantasy-Horror
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3995/9780399537424.jpg,Lord of the Flies,Sir William Golding,Paperback,3.5,11.58,13.9,0399537424,Crime-Thriller
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4549/9781454905592.jpg,Superfood Smoothies,Julie Morris,Hardback,4.0,14.73,18.0,1454905592,Food-Drink
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784708283.jpg,21 Lessons for the 21st Century,Yuval Noah Harari,Paperback,4.0,11.72,12.9,1784708283,History-Archaeology
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0994/9780099457046.jpg,Moab Is My Washpot,Stephen Fry,Paperback,4.0,5.99,12.9,0099457046,Art-Photography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5202/9780520271449.jpg,Maps of Time,David Christian,Paperback,4.0,27.23,29.9,0520271449,Natural-History
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408817933.jpg,Booze,John Wright,Hardback,4.5,16.81,21.1,1408817933,Food-Drink
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1995/9780199538003.jpg,"Rights of Man, Common Sense, and Other Political Writings",Thomas Paine,Paperback,4.0,7.94,8.8,0199538003,Dictionaries-Languages
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4250/9780425074817.jpg,Chariots of the Gods?,Erich von Däniken,Paperback,3.5,6.82,8.3,0425074817,Mind-Body-Spirit
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141039169.jpg,The Righteous Mind,Jonathan Haidt,Paperback,4.0,11.55,13.9,0141039169,Religion
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408855904.jpg,Harry Potter and the Chamber of Secrets,J. K. Rowling,Hardback,4.5,14.57,19.1,1408855904,Graphic-Novels-Anime-Manga
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099597698.jpg,A Buzz in the Meadow,Dave Goulson,Paperback,4.0,10.71,12.9,0099597698,Natural-History
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0083/9780008323448.jpg,It Doesn't Have to Be Crazy at Work,Jason Fried,Paperback,4.0,13.15,16.0,0008323448,Business-Finance-Law
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4700/9780470037379.jpg,Excel 2007 For Dummies,Greg Harvey,Paperback,4.0,14.99,20.0,0470037379,Computing
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141028552.jpg,The Messenger,Tariq Ramadan,Paperback,4.5,9.88,12.4,0141028552,Biography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5639/9781563920233.jpg,Toyota Land Cruiser (68 - 82),J. H. Haynes,Hardback,4.5,25.08,27.5,1563920233,Transport
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5750/9780575097667.jpg,Whispers Under Ground,Ben Aaronovitch,Paperback,4.0,5.27,11.4,0575097667,Crime-Thriller
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8459/9781845976804.jpg,Grandparent's Journal,Ryland Peters & Small,Hardback,4.0,16.0,18.99,1845976804,Stationery
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6077/9781607748656.jpg,"The Bread Baker's Apprentice, 15th Anniversary Edition",Peter Reinhart,Hardback,4.5,23.91,37.1,1607748656,Food-Drink
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5924/9781592408412.jpg,Daring Greatly,PhD Lmsw Brene Brown,Paperback,4.5,13.24,21.1,1592408412,Business-Finance-Law
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5897/9781589794726.jpg,Heaven and Earth,Ian Plimer,Paperback,4.0,19.94,20.95,1589794726,Technology-Engineering
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969454.jpg,"Music Theory in Practice, Grade 4",Eric Taylor,Sheet music,4.0,8.23,8.3,1860969454,Art-Photography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6334/9781633441958.jpg,Imperial Assault: Stormtroopers Villain Pack,Fantasy Flight Games,Game,3.0,13.79,15.49,1633441958,Stationery
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7863/9781786331380.jpg,The Second Sleep,Robert Harris,Paperback,3.5,16.03,18.0,1786331380,Crime-Thriller
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7180/9780718078133.jpg,"Everybody, Always",Bob Goff,Paperback,4.5,9.68,13.9,0718078133,Religion
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5833/9781583335741.jpg,Oh She Glows Every Day,Angela Liddon,Paperback,4.5,20.94,26.5,1583335741,Food-Drink
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0081/9780008117450.jpg,Ship of Magic,Robin Hobb,Paperback,4.0,12.11,12.9,0008117450,Science-Fiction-Fantasy-Horror
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0081/9780008146795.jpg,10 Things Girls Need Most,Steve Biddulph,Paperback,4.0,15.82,21.1,0008146795,Health
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473619487.jpg,Deliciously Ella Every Day,Ella Mills Woodward,Hardback,4.0,19.41,26.5,1473619487,Food-Drink
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8118/9780811867610.jpg,Dutch Door Labels & Stickers,Anna Branning,Notebook / blank book,4.5,6.68,9.0,0811867610,Stationery
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751543407.jpg,I Am Ozzy,Ozzy Osbourne,Paperback,4.0,9.52,13.9,0751543407,Art-Photography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5450/9780545013635.jpg,Traits of Writing: The Complete Guide for Middle School,Ruth Culham,Mixed media product,4.5,23.39,32.5,0545013635,Dictionaries-Languages
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4143/9781414386782.jpg,First,Rich  Davefroning Castro,Paperback,4.0,11.18,15.0,1414386782,Biography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6098/9780609810347.jpg,The Bhagavad Gita,Stephen Mitchell,Paperback,4.0,12.54,15.0,0609810347,Religion
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4522/9780452287754.jpg,The Little Book Of Hindu Deities,Sanjay Patel,Paperback,4.5,13.51,17.0,0452287754,Religion
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7708/9781770850934.jpg,The Colour Scheme Bible,Anna Starmer,Paperback,4.0,15.38,18.0,1770850934,Home-Garden
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5935/9781593594282.jpg,Journal Travel Small,Peter Pauper Press,Hardback,0.0,10.56,12.9,1593594282,Stationery
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473657663.jpg,Third Culture Kids,David C. Pollock,Paperback,4.0,15.33,21.1,1473657663,Reference
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9788/8629/9788862934664.jpg,Moleskine Soft Cover Pocket Ruled Reporter Notebook,Moleskine,Notebook / blank book,0.0,9.81,14.9,8862934664,Stationery
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9349/9781934968956.jpg,Grade 5 Reading,Eno Sarris,Paperback,4.5,8.41,10.3,1934968956,Teaching-Resources-Education
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8578/9781857886740.jpg,50 Psychology Classics,Tom Butler-Bowdon,Paperback,4.0,11.68,16.0,1857886740,Reference
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3930/9780393035544.jpg,Boatbuilding,Howard Irving Chapelle,Hardback,4.5,31.52,54.7,0393035544,Transport
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0075/9780007502530.jpg,Undisputed Truth,Mike Tyson,Paperback,4.0,12.13,13.9,0007502530,Biography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7603/9780760350225.jpg,The Complete Book of Ducati Motorcycles,Ian Falloon,Hardback,4.0,30.03,43.2,0760350225,Transport
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7171/9780717185719.jpg,One Day at a Time Diary 2020,Abby Wynne,Paperback,0.0,10.86,15.0,0717185719,Medical
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0073/9780007316199.jpg,The Boy Who Harnessed the Wind,William Kamkwamba,Paperback,4.0,9.14,11.4,0007316199,Biography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7827/9781782798705.jpg,Relax Kids,Marneta Viegas,Paperback,4.5,10.26,12.4,1782798705,Mind-Body-Spirit
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4702/9780470245873.jpg,Motorcycling For Dummies,Bill Kresnak,Paperback,3.5,12.74,20.0,0470245873,Transport
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5290/9781529028485.jpg,No Friend but the Mountains,Behrouz Boochani,Paperback,4.0,8.68,12.4,1529028485,Biography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6034/9781603424639.jpg,Equine Fitness,Jec Aristotle Ballou,Paperback,4.0,15.75,17.95,1603424639,Natural-History
